group_key,speaker,note_edit_chars_00:00-00:10,note_edit_count_00:00-00:10,note_edit_chars_00:10-00:20,note_edit_count_00:10-00:20,note_edit_chars_00:20-00:30,note_edit_count_00:20-00:30,note_edit_chars_00:30-00:40,note_edit_count_00:30-00:40,note_edit_chars_00:40-00:50,note_edit_count_00:40-00:50,note_edit_chars_00:50-01:00,note_edit_count_00:50-01:00,note_edit_chars_01:00-01:10,note_edit_count_01:00-01:10,note_edit_chars_01:10-01:20,note_edit_count_01:10-01:20,note_edit_chars_01:20-01:30,note_edit_count_01:20-01:30,note_edit_chars_01:30-01:40,note_edit_count_01:30-01:40,note_edit_chars_01:40-01:50,note_edit_count_01:40-01:50,note_edit_chars_01:50-02:00,note_edit_count_01:50-02:00,note_edit_chars_02:00-02:10,note_edit_count_02:00-02:10,note_edit_chars_02:10-02:20,note_edit_count_02:10-02:20,note_edit_chars_02:20-02:30,note_edit_count_02:20-02:30,note_edit_chars_02:30-02:40,note_edit_count_02:30-02:40,note_edit_chars_02:40-02:50,note_edit_count_02:40-02:50,note_edit_chars_02:50-03:00,note_edit_count_02:50-03:00,note_edit_chars_03:00-03:10,note_edit_count_03:00-03:10,note_edit_chars_03:10-03:20,note_edit_count_03:10-03:20,note_edit_chars_03:20-03:30,note_edit_count_03:20-03:30,note_edit_chars_03:30-03:40,note_edit_count_03:30-03:40,note_edit_chars_03:40-03:50,note_edit_count_03:40-03:50,note_edit_chars_03:50-04:00,note_edit_count_03:50-04:00,note_edit_chars_04:00-04:10,note_edit_count_04:00-04:10,note_edit_chars_04:10-04:20,note_edit_count_04:10-04:20,note_edit_chars_04:20-04:30,note_edit_count_04:20-04:30,note_edit_chars_04:30-04:40,note_edit_count_04:30-04:40,note_edit_chars_04:40-04:50,note_edit_count_04:40-04:50,note_edit_chars_04:50-05:00,note_edit_count_04:50-05:00,note_edit_chars_05:00-05:10,note_edit_count_05:00-05:10,note_edit_chars_05:10-05:20,note_edit_count_05:10-05:20,note_edit_chars_05:20-05:30,note_edit_count_05:20-05:30,note_edit_chars_05:30-05:40,note_edit_count_05:30-05:40,note_edit_chars_05:40-05:50,note_edit_count_05:40-05:50,note_edit_chars_05:50-06:00,note_edit_count_05:50-06:00,note_edit_chars_06:00-06:10,note_edit_count_06:00-06:10,note_edit_chars_06:10-06:20,note_edit_count_06:10-06:20,note_edit_chars_06:20-06:30,note_edit_count_06:20-06:30,note_edit_chars_06:30-06:40,note_edit_count_06:30-06:40,note_edit_chars_06:40-06:50,note_edit_count_06:40-06:50,note_edit_chars_06:50-07:00,note_edit_count_06:50-07:00,note_edit_chars_07:00-07:10,note_edit_count_07:00-07:10,note_edit_chars_07:10-07:20,note_edit_count_07:10-07:20,note_edit_chars_07:20-07:30,note_edit_count_07:20-07:30,note_edit_chars_07:30-07:40,note_edit_count_07:30-07:40,note_edit_chars_07:40-07:50,note_edit_count_07:40-07:50,note_edit_chars_07:50-08:00,note_edit_count_07:50-08:00,note_edit_chars_08:00-08:10,note_edit_count_08:00-08:10,note_edit_chars_08:10-08:20,note_edit_count_08:10-08:20,note_edit_chars_08:20-08:30,note_edit_count_08:20-08:30,note_edit_chars_08:30-08:40,note_edit_count_08:30-08:40,note_edit_chars_08:40-08:50,note_edit_count_08:40-08:50,note_edit_chars_08:50-09:00,note_edit_count_08:50-09:00,note_edit_chars_09:00-09:10,note_edit_count_09:00-09:10,note_edit_chars_09:10-09:20,note_edit_count_09:10-09:20,note_edit_chars_09:20-09:30,note_edit_count_09:20-09:30,note_edit_chars_09:30-09:40,note_edit_count_09:30-09:40,note_edit_chars_09:40-09:50,note_edit_count_09:40-09:50,note_edit_chars_09:50-10:00,note_edit_count_09:50-10:00,note_edit_chars_10:00-10:10,note_edit_count_10:00-10:10,note_edit_chars_10:10-10:20,note_edit_count_10:10-10:20,note_edit_chars_10:20-10:30,note_edit_count_10:20-10:30,note_edit_chars_10:30-10:40,note_edit_count_10:30-10:40,note_edit_chars_10:40-10:50,note_edit_count_10:40-10:50,note_edit_chars_10:50-11:00,note_edit_count_10:50-11:00,note_edit_chars_11:00-11:10,note_edit_count_11:00-11:10,note_edit_chars_11:10-11:20,note_edit_count_11:10-11:20,note_edit_chars_11:20-11:30,note_edit_count_11:20-11:30,note_edit_chars_11:30-11:40,note_edit_count_11:30-11:40,note_edit_chars_11:40-11:50,note_edit_count_11:40-11:50,note_edit_chars_11:50-12:00,note_edit_count_11:50-12:00,note_edit_chars_12:00-12:10,note_edit_count_12:00-12:10,note_edit_chars_12:10-12:20,note_edit_count_12:10-12:20,note_edit_chars_12:20-12:30,note_edit_count_12:20-12:30,note_edit_chars_12:30-12:40,note_edit_count_12:30-12:40,note_edit_chars_12:40-12:50,note_edit_count_12:40-12:50,note_edit_chars_12:50-13:00,note_edit_count_12:50-13:00,note_edit_chars_13:00-13:10,note_edit_count_13:00-13:10,note_edit_chars_13:10-13:20,note_edit_count_13:10-13:20,note_edit_chars_13:20-13:30,note_edit_count_13:20-13:30,note_edit_chars_13:30-13:40,note_edit_count_13:30-13:40,note_edit_chars_13:40-13:50,note_edit_count_13:40-13:50,note_edit_chars_13:50-14:00,note_edit_count_13:50-14:00,note_edit_chars_14:00-14:10,note_edit_count_14:00-14:10,note_edit_chars_14:10-14:20,note_edit_count_14:10-14:20,note_edit_chars_14:20-14:30,note_edit_count_14:20-14:30,note_edit_chars_14:30-14:40,note_edit_count_14:30-14:40,note_edit_chars_14:40-14:50,note_edit_count_14:40-14:50,note_edit_chars_14:50-15:00,note_edit_count_14:50-15:00,note_edit_chars_15:00-15:10,note_edit_count_15:00-15:10,note_edit_chars_15:10-15:20,note_edit_count_15:10-15:20,note_edit_chars_15:20-15:30,note_edit_count_15:20-15:30,note_edit_chars_15:30-15:40,note_edit_count_15:30-15:40,note_edit_chars_15:40-15:50,note_edit_count_15:40-15:50,note_edit_chars_15:50-16:00,note_edit_count_15:50-16:00,note_edit_chars_16:00-16:10,note_edit_count_16:00-16:10,note_edit_chars_16:10-16:20,note_edit_count_16:10-16:20,note_edit_chars_16:20-16:30,note_edit_count_16:20-16:30,note_edit_chars_16:30-16:40,note_edit_count_16:30-16:40,note_edit_chars_16:40-16:50,note_edit_count_16:40-16:50,note_edit_chars_16:50-17:00,note_edit_count_16:50-17:00,note_edit_chars_17:00-17:10,note_edit_count_17:00-17:10,note_edit_chars_17:10-17:20,note_edit_count_17:10-17:20,note_edit_chars_17:20-17:30,note_edit_count_17:20-17:30,note_edit_chars_17:30-17:40,note_edit_count_17:30-17:40,note_edit_chars_17:40-17:50,note_edit_count_17:40-17:50,note_edit_chars_17:50-18:00,note_edit_count_17:50-18:00,note_edit_chars_18:00-18:10,note_edit_count_18:00-18:10,note_edit_chars_18:10-18:20,note_edit_count_18:10-18:20,note_edit_chars_18:20-18:30,note_edit_count_18:20-18:30,note_edit_chars_18:30-18:40,note_edit_count_18:30-18:40,note_edit_chars_18:40-18:50,note_edit_count_18:40-18:50,note_edit_chars_18:50-19:00,note_edit_count_18:50-19:00,note_edit_chars_19:00-19:10,note_edit_count_19:00-19:10,note_edit_chars_19:10-19:20,note_edit_count_19:10-19:20,note_edit_chars_19:20-19:30,note_edit_count_19:20-19:30,note_edit_chars_19:30-19:40,note_edit_count_19:30-19:40,note_edit_chars_19:40-19:50,note_edit_count_19:40-19:50,note_edit_chars_19:50-20:00,note_edit_count_19:50-20:00,note_edit_chars_20:00-20:10,note_edit_count_20:00-20:10,note_edit_chars_20:10-20:20,note_edit_count_20:10-20:20,note_edit_chars_20:20-20:30,note_edit_count_20:20-20:30,note_edit_chars_20:30-20:40,note_edit_count_20:30-20:40,note_edit_chars_20:40-20:50,note_edit_count_20:40-20:50,note_edit_chars_20:50-21:00,note_edit_count_20:50-21:00,note_edit_chars_21:00-21:10,note_edit_count_21:00-21:10,note_edit_chars_21:10-21:20,note_edit_count_21:10-21:20,note_edit_chars_21:20-21:30,note_edit_count_21:20-21:30,note_edit_chars_21:30-21:40,note_edit_count_21:30-21:40,note_edit_chars_21:40-21:50,note_edit_count_21:40-21:50,note_edit_chars_21:50-22:00,note_edit_count_21:50-22:00,note_edit_chars_22:00-22:10,note_edit_count_22:00-22:10,note_edit_chars_22:10-22:20,note_edit_count_22:10-22:20,note_edit_chars_22:20-22:30,note_edit_count_22:20-22:30,note_edit_chars_22:30-22:40,note_edit_count_22:30-22:40,note_edit_chars_22:40-22:50,note_edit_count_22:40-22:50,note_edit_chars_22:50-23:00,note_edit_count_22:50-23:00,note_edit_chars_23:00-23:10,note_edit_count_23:00-23:10,note_edit_chars_23:10-23:20,note_edit_count_23:10-23:20,note_edit_chars_23:20-23:30,note_edit_count_23:20-23:30,note_edit_chars_23:30-23:40,note_edit_count_23:30-23:40,note_edit_chars_23:40-23:50,note_edit_count_23:40-23:50,note_edit_chars_23:50-24:00,note_edit_count_23:50-24:00,note_edit_chars_24:00-24:10,note_edit_count_24:00-24:10,note_edit_chars_24:10-24:20,note_edit_count_24:10-24:20,note_edit_chars_24:20-24:30,note_edit_count_24:20-24:30,note_edit_chars_24:30-24:40,note_edit_count_24:30-24:40,note_edit_chars_24:40-24:50,note_edit_count_24:40-24:50,note_edit_chars_24:50-25:00,note_edit_count_24:50-25:00,note_edit_chars_25:00-25:10,note_edit_count_25:00-25:10,note_edit_chars_25:10-25:20,note_edit_count_25:10-25:20,note_edit_chars_25:20-25:30,note_edit_count_25:20-25:30,note_edit_chars_25:30-25:40,note_edit_count_25:30-25:40,note_edit_chars_25:40-25:50,note_edit_count_25:40-25:50,note_edit_chars_25:50-26:00,note_edit_count_25:50-26:00,note_edit_chars_26:00-26:10,note_edit_count_26:00-26:10,note_edit_chars_26:10-26:20,note_edit_count_26:10-26:20,note_edit_chars_26:20-26:30,note_edit_count_26:20-26:30,note_edit_chars_26:30-26:40,note_edit_count_26:30-26:40,note_edit_chars_26:40-26:50,note_edit_count_26:40-26:50,note_edit_chars_26:50-27:00,note_edit_count_26:50-27:00,note_edit_chars_27:00-27:10,note_edit_count_27:00-27:10,note_edit_chars_27:10-27:20,note_edit_count_27:10-27:20,note_edit_chars_27:20-27:30,note_edit_count_27:20-27:30,note_edit_chars_27:30-27:40,note_edit_count_27:30-27:40,note_edit_chars_27:40-27:50,note_edit_count_27:40-27:50,note_edit_chars_27:50-28:00,note_edit_count_27:50-28:00,note_edit_chars_28:00-28:10,note_edit_count_28:00-28:10,note_edit_chars_28:10-28:20,note_edit_count_28:10-28:20,note_edit_chars_28:20-28:30,note_edit_count_28:20-28:30,note_edit_chars_28:30-28:40,note_edit_count_28:30-28:40,note_edit_chars_28:40-28:50,note_edit_count_28:40-28:50,note_edit_chars_28:50-29:00,note_edit_count_28:50-29:00,note_edit_chars_29:00-29:10,note_edit_count_29:00-29:10,note_edit_chars_29:10-29:20,note_edit_count_29:10-29:20,note_edit_chars_29:20-29:30,note_edit_count_29:20-29:30,note_edit_chars_29:30-29:40,note_edit_count_29:30-29:40,note_edit_chars_29:40-29:50,note_edit_count_29:40-29:50,note_edit_chars_29:50-30:00,note_edit_count_29:50-30:00
group01,Ally1,,0,,0,116,1,117,1,0,0,129,1,143,1,160,1,182,1,184,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,186,1,186,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,185,1,185,1,191,1,200,1,204,1,,0,,0,,0,,0,211,1,213,1,221,1,,0,,0,,0,204,1,211,1,224,1,229,1,229,1,247,1,261,1,267,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,269,1,275,1,,0,,0,0,0,278,1,283,1,286,1,298,1,306,1,285,1,207,1,313,1,,0,284,1,291,1,284,1,,0,,0,276,1,,0,,0,,0,,0,,0,263,1,,0,,0,,0,,0,333,1,,0,392,1,,0,,0,,0,399,1,117,1,189,1,191,1,200,1,214,1,447,1,182,1,404,1,,0,,0,,0,,0,,0,,0,222,1,420,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
group01,Shirao1,2,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,7,1,15,1,15,1,20,1,26,1,36,1,42,1,43,1,48,1,53,1,57,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,60,1,57,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,85,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,115,1,113,1,124,1,129,1,161,1,,0,,0,127,1,106,1,,0,,0,,0,,0,438,1,110,1,281,1,,0,,0,,0,,0,127,1,131,1,162,1,127,1,,0,131,1,202,1,361,1,457,1,174,1,,0,,0,,0,184,1,189,1,,0,524,1,421,1,498,1,,0,,0,237,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
group01,Terry1,,0,,0,,0,,0,,0,,0,,0,,0,,0,57,1,113,1,2,1,,0,,0,,0,168,1,,0,172,1,,0,,0,,0,,0,,0,,0,,0,,0,320,1,321,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,322,1,440,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,442,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,521,1,598,1,524,1,,0,586,1,644,1,647,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,647,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
group02,Ally2,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,21,1,,0,,0,,0,145,1,145,1,166,1,186,1,207,1,259,1,260,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,277,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,278,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,293,1,,0,,0,,0,,0,,0,,0,,0,294,1,0,0,310,1,322,1,332,1,349,1,361,1,367,1,377,1,391,1,400,1,408,1,0,0,285,1,303,1,329,1,317,1,289,1,,0,,0,300,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,895,1,,0,,0,,0,,0,,0,,0
group02,Shirao2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1,0,0,8,1,12,1,18,1,17,1,,0,,0,,0,,0,,0,99,1,102,1,,0,,0,186,1,189,1,145,1,146,1,108,1,,0,,0,211,1,212,1,,0,152,1,98,1,316,1,316,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,319,1,,0,,0,,0,,0,,0,,0,,0,321,1,333,1,345,1,333,1,358,1,,0,356,1,,0,,0,,0,,0,,0,330,1,,0,362,1,,0,,0,,0,,0,369,1,377,1,386,1,,0,,0,,0,,0,,0,,0,368,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,373,1,,0,,0,,0,,0,375,1,385,1,,0,,0,,0,,0,,0,387,1,393,1,402,1,410,1,392,1,363,1,421,1,,0,486,1,487,1,,0,,0,528,1,,0,379,1,364,1,,0,,0,319,1,,0,,0,322,1,369,1,412,1,415,1,345,1,572,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
group02,Terry2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,26,1,61,1,62,1,64,1,215,1,218,1,,0,386,1,,0,,0,,0,387,1,536,1,386,1,64,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
group11,Yyoli1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1,10,1,,0,11,1,,0,,0,15,1,19,1,,0,0,0,13,1,,0,,0,,0,25,1,,0,,0,,0,82,1,35,1,26,1,53,1,48,1,,0,,0,,0,85,1,85,1,,0,,0,,0,,0,,0,,0,,0,,0,89,1,98,1,104,1,107,1,,0,,0,112,1,112,1,122,1,124,1,132,1,136,1,138,1,151,1,157,1,141,1,151,1,169,1,,0,171,1,183,1,188,1,180,1,,0,174,1,181,1,188,1,185,1,190,1,100,1,218,1,217,1,168,1,181,1,187,1,198,1,243,1,124,1,146,1,229,1,263,1,269,1,,0,89,1,279,1,320,1,140,1,,0,198,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,97,1,97,1,97,1,107,1,277,1,114,1,122,1,127,1,124,1,131,1,141,1,132,1,133,1,,0,,0,363,1,,0,,0,,0,25,1,33,1,34,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,381,1,389,1,387,1,391,1,,0,,0,396,1,404,1,,0,,0,407,1,408,1,381,1,,0,,0,,0,,0,413,1,,0,412,1,,0,,0,,0,111,1,103,1,,0,100,1,,0,,0,,0,476,1,,0,,0
group11,Jessica1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
group11,JieXu1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1,9,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,18,1,,0,23,1,16,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,63,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,434,1,437,1
group12,Yyoli2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
