Group,Speaker,Type,Net_Chars,Total_Edit_Count,Active_Time_Windows
Group0,P1,AI,8866.0,29,29
Group0,P1,NoAI,12793.0,53,53
Group0,P2,AI,15797.0,53,53
Group0,P2,NoAI,6195.0,40,40
Group0,P3,AI,2405.0,11,11
Group0,P3,NoAI,6524.0,17,17
Group1,P4,AI,15076.0,89,89
Group1,P4,NoAI,3088.0,92,15
Group1,P5,AI,0.0,0,0
Group1,P5,NoAI,1947.0,12,12
Group1,P6,AI,1005.0,8,8
Group1,P6,NoAI,3338.0,15,15
Group10,P31,AI,13901.0,20,20
Group10,P31,NoAI,15861.0,30,30
Group10,P32,AI,8554.0,15,14
Group10,P32,NoAI,4089.0,10,10
Group10,P33,AI,9394.0,35,35
Group10,P33,NoAI,15015.0,59,59
Group11,P34,AI,7820.0,52,52
Group11,P34,NoAI,5781.0,34,34
Group11,P35,AI,2391.0,14,14
Group11,P35,NoAI,4998.0,13,13
Group11,P36,AI,8217.0,13,13
Group11,P36,NoAI,6264.0,18,18
Group2,P7,AI,1751.0,19,19
Group2,P7,NoAI,23047.0,33,33
Group2,P8,AI,19967.0,33,33
Group2,P8,NoAI,893.0,7,7
Group2,P9,AI,19488.0,39,39
Group2,P9,NoAI,31566.0,50,50
Group3,P10,AI,2056.0,27,27
Group3,P10,NoAI,878.0,13,13
Group3,P11,AI,2670.0,33,33
Group3,P11,NoAI,9433.0,63,63
Group3,P12,AI,3495.0,39,39
Group3,P12,NoAI,385.0,6,6
Group4,P13,AI,79.0,5,5
Group4,P13,NoAI,435.0,17,17
Group4,P14,AI,54.0,3,3
Group4,P14,NoAI,1221.0,9,9
Group4,P15,AI,2039.0,31,31
Group4,P15,NoAI,1047.0,9,9
Group5,P16,AI,2929.0,40,40
Group5,P16,NoAI,7495.0,54,54
Group5,P17,AI,87.0,1,1
Group5,P17,NoAI,425.0,8,8
Group5,P18,AI,333.0,11,11
Group5,P18,NoAI,0.0,0,0
Group6,P19,AI,2913.0,30,30
Group6,P19,NoAI,6986.0,65,65
Group6,P20,AI,534.0,16,16
Group6,P20,NoAI,1633.0,35,35
Group6,P21,AI,922.0,23,23
Group6,P21,NoAI,1682.0,34,34
Group7,P22,AI,810.0,8,8
Group7,P22,NoAI,1127.0,11,11
Group7,P23,AI,3275.0,20,20
Group7,P23,NoAI,1557.0,6,6
Group7,P24,AI,32178.0,59,59
Group7,P24,NoAI,14324.0,36,36
Group8,P25,AI,9262.0,55,55
Group8,P25,NoAI,3104.0,42,42
Group8,P26,AI,2749.0,18,18
Group8,P26,NoAI,180.0,4,4
Group8,P27,AI,320.0,7,7
Group8,P27,NoAI,8643.0,64,64
Group9,P28,AI,12178.0,55,55
Group9,P28,NoAI,7082.0,41,41
Group9,P29,AI,13518.0,45,45
Group9,P29,NoAI,15586.0,47,47
Group9,P30,AI,14479.0,56,56
Group9,P30,NoAI,8648.0,26,26
