Expert,Dimension,Condition,Mean,SE,N_Total,Method
Combined,Process,Baseline,3.291666666666667,0.3340428055797579,24,simple_average
Combined,Process,EngageCue,3.166666666666667,0.34036151309447366,24,simple_average
Combined,Outcome,Baseline,1.0,0.1704124527151817,24,simple_average
Combined,Outcome,EngageCue,0.75,0.1731686280403403,24,simple_average
Combined,Overall,Baseline,4.5,0.39368435800444723,24,simple_average
Combined,Overall,EngageCue,4.166666666666667,0.39368435800444723,24,simple_average
E1,Process,Baseline,3.25,0.44594129250792236,12,individual
E1,Process,EngageCue,2.75,0.538305421923955,12,individual
E1,Outcome,Baseline,0.8333333333333334,0.27061471362866296,12,individual
E1,Outcome,EngageCue,0.5833333333333334,0.2599047999758855,12,individual
E1,Overall,Baseline,4.083333333333333,0.6793304784785525,12,individual
E1,Overall,EngageCue,3.4166666666666665,0.7012794944192575,12,individual
E2,Process,Baseline,3.3333333333333335,0.497468338163091,12,individual
E2,Process,EngageCue,3.5833333333333335,0.41666666666666663,12,individual
E2,Outcome,Baseline,1.1666666666666667,0.20719385350268704,12,individual
E2,Outcome,EngageCue,0.9166666666666666,0.22890825651118377,12,individual
E2,Overall,Baseline,4.916666666666667,0.39806983804301976,12,individual
E2,Overall,EngageCue,4.916666666666667,0.35798961668820184,12,individual
