Domain,Condition,Gini
Speaking,Baseline,0.242
Speaking,EngageCue,0.168
Speaking,Baseline,0.259
Speaking,EngageCue,0.105
Speaking,Baseline,0.203
Speaking,EngageCue,0.123
Speaking,Baseline,0.218
Speaking,EngageCue,0.274
Speaking,Baseline,0.249
Speaking,EngageCue,0.343
Speaking,Baseline,0.162
Speaking,EngageCue,0.231
Speaking,Baseline,0.411
Speaking,EngageCue,0.351
Speaking,Baseline,0.233
Speaking,EngageCue,0.179
Speaking,Baseline,0.246
Speaking,EngageCue,0.036
Speaking,Baseline,0.199
Speaking,EngageCue,0.174
Speaking,Baseline,0.395
Speaking,EngageCue,0.172
Speaking,Baseline,0.352
Speaking,EngageCue,0.157
Editing,Baseline,0.1724155952754259
Editing,EngageCue,0.329835968671494
Editing,Baseline,0.1107528165930172
Editing,EngageCue,0.6250025910494786
Editing,Baseline,0.2244530244530244
Editing,EngageCue,0.1119239745884224
Editing,Baseline,0.0495217978055506
Editing,EngageCue,0.2107662253093119
Editing,Baseline,0.3684046169182911
Editing,EngageCue,0.2947143619861185
Editing,Baseline,0.5639491398653702
Editing,EngageCue,0.1166930219356931
Editing,Baseline,0.1938586755456899
Editing,EngageCue,0.6092694904849602
Editing,Baseline,0.6308922558922558
Editing,EngageCue,0.5657410172190703
Editing,Baseline,0.346438857068893
Editing,EngageCue,0.3630121309224078
Editing,Baseline,0.5172859830667921
Editing,EngageCue,0.5766759506935444
Editing,Baseline,0.4730443531483189
Editing,EngageCue,0.4834428135052577
Editing,Baseline,0.1810363179631285
Editing,EngageCue,0.0381829495955196
Browsing,Baseline,0.1034482758620688
Browsing,EngageCue,0.0957429718875502
Browsing,Baseline,0.3742384682332462
Browsing,EngageCue,0.2154730658667668
Browsing,Baseline,0.2339289858435832
Browsing,EngageCue,0.3361312108055957
Browsing,Baseline,0.294285235461706
Browsing,EngageCue,0.3060498220640569
Browsing,Baseline,0.3349872199669222
Browsing,EngageCue,0.0241812795259826
Browsing,Baseline,0.2575477510782502
Browsing,EngageCue,0.3399074750426101
Browsing,Baseline,0.2661941327032879
Browsing,EngageCue,0.2508662508662508
Browsing,Baseline,0.0609026644915714
Browsing,EngageCue,0.2135945815191098
Browsing,Baseline,0.1745704467353951
Browsing,EngageCue,0.2346731628095817
Browsing,Baseline,0.312532773990561
Browsing,EngageCue,0.0850500537767851
Browsing,Baseline,0.2703917790622993
Browsing,EngageCue,0.3575974542561655
Browsing,Baseline,0.3442325158946412
Browsing,EngageCue,0.2230828814872193
