Group,speaker,Type,SumCount,Op_Freq
Group0,P1,NoAI,1069.0,35.63333333333333
Group0,P2,NoAI,682.0,22.733333333333334
Group0,P3,NoAI,743.0,24.766666666666666
Group0,P1,AI,852.0,28.4
Group0,P2,AI,554.0,18.466666666666665
Group0,P3,AI,669.0,22.3
Group1,P4,AI,592.0,19.733333333333334
Group1,P5,AI,621.0,20.7
Group1,P6,AI,1454.0,48.46666666666667
Group1,P4,NoAI,158.0,5.266666666666667
Group1,P5,NoAI,356.0,11.866666666666667
Group1,P6,NoAI,1018.0,33.93333333333333
Group2,P7,NoAI,0.0,0.0
Group2,P8,NoAI,1114.0,37.13333333333333
Group2,P9,NoAI,1103.0,36.766666666666666
Group2,P7,AI,1444.0,48.13333333333333
Group2,P8,AI,1426.0,47.53333333333333
Group2,P9,AI,1293.0,43.1
Group3,P10,AI,900.0,30.0
Group3,P11,AI,202.0,6.733333333333333
Group3,P12,AI,267.0,8.9
Group3,P10,NoAI,564.0,18.8
Group3,P11,NoAI,372.0,12.4
Group3,P12,NoAI,146.0,4.866666666666666
Group4,P13,NoAI,339.0,11.3
Group4,P14,NoAI,1015.0,33.833333333333336
Group4,P15,NoAI,339.0,11.3
Group4,P13,AI,239.0,7.966666666666667
Group4,P14,AI,58.0,1.9333333333333333
Group4,P15,AI,184.0,6.133333333333334
Group5,P16,AI,949.0,31.633333333333333
Group5,P17,AI,462.0,15.4
Group5,P18,AI,1345.0,44.833333333333336
Group5,P16,NoAI,714.0,23.8
Group5,P17,NoAI,546.0,18.2
Group5,P18,NoAI,579.0,19.3
Group6,P19,NoAI,202.0,6.733333333333333
Group6,P20,NoAI,205.0,6.833333333333333
Group6,P21,NoAI,78.0,2.6
Group6,P19,AI,381.0,12.7
Group6,P20,AI,348.0,11.6
Group6,P21,AI,92.0,3.066666666666667
Group7,P22,AI,1349.0,44.96666666666667
Group7,P23,AI,1083.0,36.1
Group7,P24,AI,1597.0,53.233333333333334
Group7,P22,NoAI,451.0,15.033333333333333
Group7,P23,NoAI,281.0,9.366666666666667
Group7,P24,NoAI,1175.0,39.166666666666664
Group8,P25,NoAI,528.0,17.6
Group8,P26,NoAI,107.0,3.566666666666667
Group8,P27,NoAI,403.0,13.433333333333334
Group8,P25,AI,777.0,25.9
Group8,P26,AI,899.0,29.966666666666665
Group8,P27,AI,0.0,0.0
Group9,P28,AI,461.0,15.366666666666667
Group9,P29,AI,199.0,6.633333333333334
Group9,P30,AI,631.0,21.033333333333335
Group9,P28,NoAI,379.0,12.633333333333333
Group9,P29,NoAI,0.0,0.0
Group9,P30,NoAI,355.0,11.833333333333334
Group10,P31,NoAI,1681.0,56.03333333333333
Group10,P32,NoAI,558.0,18.6
Group10,P33,NoAI,2070.0,69.0
Group10,P31,AI,1742.0,58.06666666666667
Group10,P32,AI,0.0,0.0
Group10,P33,AI,1713.0,57.1
Group11,P34,AI,374.0,12.466666666666667
Group11,P35,AI,633.0,21.1
Group11,P36,AI,117.0,3.9
Group11,P34,NoAI,326.0,10.866666666666667
Group11,P35,NoAI,459.0,15.3
Group11,P36,NoAI,1204.0,40.13333333333333
